Step,Time,X,Y,Z,Vx,Vy,Vz,Eclipse_status_Earth,Eclipse_status_Moon
146,7300.0,-3517.0016441850694,-5944.842884511781,-1404.9070114935485,5.159792234051472,-1.708927122332315,-6.008013305463501,2,0
147,7350.0,-3253.311784496331,-6020.365197945314,-1702.8009204420237,5.384826904662842,-1.311225415017434,-5.904459526086332,2,0
148,7400.0,-2978.8220374066777,-6075.902356617825,-1995.0280723162984,5.591677783247961,-0.9097409752430818,-5.781412768245704,2,0
149,7450.0,-2694.457438024056,-6111.298175923185,-2280.624972190009,5.779721877103031,-0.5057920518448719,-5.639330827477574,2,0
150,7500.0,-2401.1726066376887,-6126.462417377728,-2558.6524550529634,5.948399650448134,-0.10069756683674248,-5.478728353924961,2,0
151,7550.0,-2099.9485372539907,-6121.370743003071,-2828.19853508042,6.097214093556328,0.3042270435282299,-5.300173597125343,2,0
152,7600.0,-1791.7895166180156,-6096.064325013203,-3088.3809280596424,6.225731150109169,0.7076750179056106,-5.104287956956084,2,0
153,7650.0,-1477.7198240969237,-6050.64946456713,-3338.349677299417,6.333582926694056,1.1083493037447452,-4.891742233782668,2,0
154,7700.0,-1158.7806134991918,-5985.29697504924,-3577.2895276756667,6.4204646471651685,1.5049672900284052,-4.66325422123145,2,0
155,7750.0,-836.0266400366495,-5900.24133682799,-3804.422278776727,6.486138809054855,1.8962662117032902,-4.419589301976326,2,0
156,7800.0,-510.5229235860182,-5795.779579581805,-4019.0091142740107,6.530436180365298,2.2810091919543773,-4.161559473803735,2,0
157,7850.0,-183.34115091622465,-5672.270032433631,-4220.352883571601,6.553247086421872,2.6579761921647402,-3.8900100806842324,2,0
158,7900.0,144.4429829388143,-5530.131368243261,-4407.7995840524545,6.554528826003723,3.025978377686132,-3.605826901642154,2,0
159,7950.0,471.7532004455038,-5369.841391261024,-4580.740622340981,6.5342981395402155,3.383855586937062,-3.3099251689105906,2,0
160,8000.0,797.5157986919337,-5191.934757526161,-4738.613955257911,6.492640146620044,3.730482381885097,-3.0032604333337445,2,0
161,8050.0,1120.662895977805,-4997.001300341279,-4880.905970383098,6.429700139546415,4.064769335108261,-2.686818659162305,2,0
162,8100.0,1440.1355481357516,-4785.68422606965,-5007.152759615099,6.345700432721437,4.385664186493807,-2.3616095238633545,2,0
163,8150.0,1754.8875092183382,-4558.678986354225,-5116.942066199178,6.240911687350429,4.6921563447642525,-2.028663276183236,2,0
164,8200.0,2063.8873866854233,-4316.730050650602,-5209.913394065429,6.11566226713607,4.983276616652035,-1.6890369742238986,2,0
165,8250.0,2366.1206427446,-4060.626790799801,-5285.756666979644,5.970339434197295,5.258099484252221,-1.3438049548236077,2,0
166,8300.0,2660.5944352927922,-3791.2060994004214,-5344.2186404185595,5.8053928274367905,5.515747294048868,-0.9940609856608619,2,0
167,8350.0,2946.3410960206324,-3509.350327920402,-5385.104392313682,5.621335770422535,5.755397152453529,-0.6409122126283718,2,0
168,8400.0,3222.4189459082863,-3215.97873201321,-5408.271329510785,5.418734765637896,5.97627608448423,-0.2854751652588841,2,0
169,8450.0,3487.9158936299305,-2912.047611829326,-5413.632614174243,5.198210396899186,6.177662428874428,0.07112284746015506,2,0
170,8500.0,3741.9524938155437,-2598.5484965669407,-5401.158593554127,4.960437437260777,6.358890453811132,0.42774889277851197,2,0
171,8550.0,3983.684513838517,-2276.5048682821184,-5370.876554526432,4.70614471604922,6.519352548198582,0.7832660295130189,2,0
172,8600.0,4212.305484206073,-1946.9689234776085,-5322.870374573075,4.436123533166535,6.65850302931386,1.1365385613981978,2,0
173,8650.0,4427.049915161176,-1611.0186084417865,-5257.280698433599,4.151210745096401,6.775856251856687,1.486432550582227,2,0
174,8700.0,4627.1932305689725,-1269.7544064086462,-5174.303623773651,3.852245529754863,6.870977289481082,1.8318126872023908,2,0
175,8750.0,4812.05637182246,-924.2975354527389,-5074.193944348617,3.540163376128911,6.943510501115229,2.1715553469560804,2,0
176,8800.0,4981.009644733648,-575.7852252503055,-4957.263015087619,3.2159481504053127,6.993169121371399,2.5045549955632254,2,0
177,8850.0,5133.470213691012,-225.3666911379458,-4823.873929497232,2.8806098679769945,7.019726568072736,2.8297149518657285,2,0
178,8900.0,5268.905515573687,125.79917350048783,-4674.443351035293,2.535197124135711,7.023025108196435,3.1459527451686102,2,0
179,8950.0,5386.841127186589,476.54671640286176,-4509.44583041502,2.180808979145855,7.002983807279682,3.4522118329055345,2,0
180,9000.0,5486.857093259617,825.7083573113459,-4329.407093427892,1.8185699792231043,6.959592349940079,3.7474584001900175,2,0
181,9050.0,5568.589598506375,1172.1179715128985,-4134.903078871693,1.4496393238889749,6.892914339327375,4.03067818330322,0,0
182,9100.0,5631.733493583982,1514.6144429168266,-3926.559312603838,1.0752084510446787,6.803089691503249,4.300900632461884,0,0
183,9150.0,5676.043694986178,1852.0454039544343,-3705.0490149390002,0.6964941654706296,6.690329677888566,4.557183172808343,0,0
184,9200.0,5701.337064798421,2183.2710237710016,-3471.092040039659,0.31473678032012997,6.554923190645057,4.7986209647538605,0,0
185,9250.0,5707.491368125065,2507.16730518932,-3225.4513629368234,-0.06880342750875026,6.397234046799653,5.0243504864454165,0,0
186,9300.0,5694.449799397311,2822.6308931128683,-2968.933441781348,-0.4528492086953295,6.217705696818099,5.233554299462844,0,0
187,9350.0,5662.220834598282,3128.5830897743335,-2702.384957805804,-0.8361123683203615,6.016857942140339,5.425465189613492,0,0
188,9400.0,5610.87612974714,3423.9726134216016,-2426.6886911377537,-1.2172964202702392,5.795285766509578,5.599366920875953,0,0
189,9450.0,5540.552801358436,3707.7801975066377,-2142.762184492779,-1.595097908493602,5.5536644545886915,5.754595102064003,0,0
190,9500.0,5451.4515169618535,3979.021252536408,-1851.553859728878,-1.968218097497456,5.292736595773365,5.890547869881775,0,0
191,9550.0,5343.837209483973,4236.749800692322,-1554.040492013364,-2.335362611347933,5.013317877203774,6.006683598834626,0,0
192,9600.0,5218.037406761982,4480.061019319073,-1251.2237328145427,-2.6952479313217834,4.716293560599911,6.102523652496186,0,0
193,9650.0,5074.451704446987,4708.100876943891,-944.1312641001523,-3.046606509070682,4.402627568030751,6.177664580360932,0,0
194,9700.0,4913.538454249771,4920.063247511035,-633.8069752067956,-3.388194856013839,4.073346127681425,6.231773241398978,0,0
195,9750.0,4735.815493748661,5115.193814359246,-321.3086662248006,-3.7187974767983594,3.729537812666672,6.264587757128197,0,0
196,9800.0,4541.861932570126,5292.794399386025,-7.706121329747326,-4.03721302487486,3.372348232175546,6.275913309718736,0,0
197,9850.0,4332.316786951621,5452.22579497716,305.9226815253778,-4.34226861155202,3.002980016108048,6.265629294163025,0,0
198,9900.0,4107.876350335885,5592.91039967174,618.4960997256763,-4.63284609932211,2.622690878482701,6.233701170842672,0,0
199,9950.0,3869.290838474963,5714.334713500831,928.9330796661952,-4.907900166003593,2.2327882798555643,6.180184376378856,0,0
