Step,Time,Datetime,a,e,i,RAAN,aop,ta,Eclipse_status_Earth,Eclipse_status_Moon
121,793648169.1852885,2025-02-24 05:48:19.999987+00:00,42167.26363373179,0.0004756477358845585,0.1361171980352991,85.02745797187092,248.03166076914422,207.0143980986892,0,0
122,793648669.1852885,2025-02-24 05:56:39.999987+00:00,42167.20033748457,0.0004780786460519944,0.13611495143111083,85.03634423982999,247.85953771247665,209.2646597720152,0,0
123,793649169.1852885,2025-02-24 06:04:59.999987+00:00,42167.13820545602,0.0004805648688976068,0.13611212751752771,85.04464259815886,247.69306333429319,211.50989466563294,0,0
124,793649669.1852885,2025-02-24 06:13:19.999987+00:00,42167.077574121286,0.0004831000999758541,0.1361088311995758,85.05233154486429,247.5320457213655,213.7503188839468,0,0
125,793650169.1852885,2025-02-24 06:21:39.999987+00:00,42167.01877680992,0.00048567828161551814,0.13610517156143637,85.05939243477889,247.37624026355473,215.98619834557906,0,0
126,793650669.1852885,2025-02-24 06:29:59.999987+00:00,42166.962141852135,0.0004882936492517899,0.13610126138826278,85.06580962913937,247.22535639694127,218.21784188670927,0,0
127,793651169.1852885,2025-02-24 06:38:19.999987+00:00,42166.9079907041,0.0004909407730234336,0.13609721671127267,85.07157063532543,247.0790647122392,220.44559400888267,0,0
128,793651669.1852885,2025-02-24 06:46:39.999987+00:00,42166.85663606266,0.0004936145941700255,0.13609315632243563,85.07666623557569,246.93700433055415,222.66982737041863,0,0
129,793652169.1852885,2025-02-24 06:54:59.999987+00:00,42166.808379979506,0.0004963104558140407,0.13608920121579682,85.0810906034689,246.7987904522669,224.89093511685456,0,0
130,793652669.1852885,2025-02-24 07:03:19.999987+00:00,42166.76351198611,0.0004990241277624054,0.13608547405175658,85.08484140693906,246.66402198925812,227.1093231414485,0,0
131,793653169.1852885,2025-02-24 07:11:39.999986+00:00,42166.722307240634,0.000501751825012744,0.13608209856390455,85.08791989658043,246.53228919466028,229.32540236280713,0,0
132,793653669.1852885,2025-02-24 07:19:59.999986+00:00,42166.68502470872,0.0005044902197076583,0.13607919895925893,85.09033097799814,246.40318120871132,231.53958110231727,0,0
133,793654169.1852885,2025-02-24 07:28:19.999986+00:00,42166.65190539029,0.0005072364463363355,0.136076899277093,85.09208326697009,246.27629344235834,233.75225764097695,0,0
134,793654669.1852885,2025-02-24 07:36:39.999986+00:00,42166.62317060489,0.0005099881000424907,0.13607532274655357,85.09318912620985,246.15123472341097,235.96381303204709,0,0
135,793655169.1852885,2025-02-24 07:44:59.999986+00:00,42166.59902034839,0.000512743227971342,0.13607459111100048,85.0936646825579,246.02763413299562,238.17460424295726,0,0
136,793655669.1852885,2025-02-24 07:53:19.999986+00:00,42166.579631733824,0.0005155003136543716,0.13607482395130827,85.09352982348372,245.90514746181185,240.38495769809288,0,0
137,793656169.1852885,2025-02-24 08:01:39.999986+00:00,42166.56515752931,0.0005182582545159603,0.1360761379921994,85.09280817185171,245.78346321868298,242.59516329103286,0,0
138,793656669.1852885,2025-02-24 08:09:59.999986+00:00,42166.55572480632,0.0005210163326646521,0.13607864639713865,85.0915270379946,245.66230812480984,244.80546893379838,0,0
139,793657169.1852885,2025-02-24 08:18:19.999986+00:00,42166.551433710985,0.0005237741792308039,0.13608245806806557,85.08971734824627,245.54145203101885,247.01607570668278,0,0
140,793657669.1852885,2025-02-24 08:26:39.999985+00:00,42166.55235637095,0.0005265317326015461,0.1360876769528791,85.08741354921644,245.42071219760376,249.22713366979886,0,0
141,793658169.1852885,2025-02-24 08:34:59.999985+00:00,42166.55853595035,0.0005292891910119607,0.13609440132344283,85.0846534872379,245.29995688030826,251.43873839337792,0,0
142,793658669.1852885,2025-02-24 08:43:19.999985+00:00,42166.56998586471,0.0005320469600466868,0.1361027231181342,85.08147826258913,245.1791081708625,253.65092825882274,0,0
143,793659169.1852885,2025-02-24 08:51:39.999985+00:00,42166.586689166834,0.0005348055957192158,0.13611272725282278,85.07793205828497,245.05814404761827,255.86368257519388,0,0
144,793659669.1852885,2025-02-24 08:59:59.999985+00:00,42166.60859811436,0.0005375657438909529,0.13612449097022333,85.07406194343982,244.93709959843574,258.07692054898655,0,0
145,793660169.1852885,2025-02-24 09:08:19.999985+00:00,42166.63563392847,0.0005403280768927722,0.13613808324399487,85.06991765143735,244.81606738851787,260.2905011342897,0,0
146,793660669.1852885,2025-02-24 09:16:39.999985+00:00,42166.667686752204,0.0005430932283012214,0.13615356415488872,85.06555133338777,244.6951969561873,262.50422377986337,0,0
147,793661169.1852885,2025-02-24 09:24:59.999985+00:00,42166.70461581593,0.0005458617268974071,0.13617098435973063,85.06101728761644,244.5746934321407,264.7178300768778,0,0
148,793661669.1852885,2025-02-24 09:33:19.999985+00:00,42166.74624981551,0.0005486339309011341,0.13619038457853205,85.05637166620234,244.45481529262756,266.9310062958649,0,0
149,793662169.1852885,2025-02-24 09:41:39.999985+00:00,42166.79238750787,0.0005514099636184209,0.13621179513745185,85.05167215986968,244.3358712701644,269.14338678798333,0,0
150,793662669.1852885,2025-02-24 09:49:59.999985+00:00,42166.84279852642,0.0005541896516617988,0.1362352355704779,85.04697766282662,244.21821646292022,271.3545582078885,0,0
151,793663169.1852885,2025-02-24 09:58:19.999984+00:00,42166.89722441742,0.0005569724669051412,0.13626071427997327,85.04234791943713,244.10224769816833,273.5640645009403,0,0
152,793663669.1852885,2025-02-24 10:06:39.999984+00:00,42166.955379896004,0.0005597574733084241,0.13628822825083375,85.03784315490212,243.98839822159476,275.7714125807996,0,0
153,793664169.1852885,2025-02-24 10:14:59.999984+00:00,42167.016954318635,0.0005625432796956254,0.1363177628664312,85.0335236924074,243.87713179876346,277.9760786086723,0,0
154,793664669.1852885,2025-02-24 10:23:19.999984+00:00,42167.08161336692,0.0005653279994892613,0.13634929176477817,85.02944955946583,243.76893632723574,280.1775147729897,0,0
155,793665169.1852885,2025-02-24 10:31:39.999984+00:00,42167.14900093488,0.0005681092183012235,0.1363827768096842,85.0256800864307,243.66431707032888,282.37515645558,0,0
156,793665669.1852885,2025-02-24 10:39:59.999984+00:00,42167.218741209865,0.0005708839701476123,0.13641816810986737,85.02227350038531,243.56378963055306,284.56842966309665,0,0
157,793666169.1852885,2025-02-24 10:48:19.999984+00:00,42167.29044093507,0.0005736487229052821,0.13645540415793836,85.01928651780993,243.46787278750716,286.756758595537,0,0
158,793666669.1852885,2025-02-24 10:56:39.999984+00:00,42167.3636918389,0.0005763993734571885,0.1364944120221068,85.01677393959075,243.37708132678196,288.9395732217473,0,0
159,793667169.1852885,2025-02-24 11:04:59.999984+00:00,42167.438073214944,0.0005791312527916073,0.13653510766502072,85.01478825205793,243.29191898536942,291.1163167327378,0,0
160,793667669.1852885,2025-02-24 11:13:19.999983+00:00,42167.513154632856,0.0005818391411233678,0.1365773963198167,85.01337923781817,243.2128716363803,293.2864527462483,0,0
161,793668169.1852885,2025-02-24 11:21:39.999983+00:00,42167.58849876058,0.000584517292918786,0.1366211729736191,85.01259360017838,243.14040082541052,295.4494721464339,0,0
